Date,carat,cut,color,clarity,x,y,z,price,GemstoneNames
01/01/2018,0.3,Ideal,blue,SI1,4.27,4.29,2.66,499,Spinel
01/01/2018,0.33,Premium,yellow,IF,4.42,4.46,2.7,984,Cat's Eye
01/01/2018,0.9,Very Good,blue,VVS2,6.04,6.12,3.78,6289,Spinel
01/01/2018,0.42,Ideal,purple,VS1,4.82,4.8,2.96,1082,Zircon
01/01/2018,0.31,Ideal,purple,VVS1,4.35,4.43,2.65,779,Alexandrite
01/01/2018,1.02,Ideal,red,VS2,6.46,6.49,3.99,9502,Sapphire
01/01/2018,1.01,Good,Green,SI1,6.35,6.3,4.03,4836,Ruby
01/01/2018,0.5,Premium,blue,SI1,5.09,5.06,3.12,1415,Topaz
01/01/2018,1.21,Good,Green,SI1,6.72,6.63,4.26,5407,Ruby
01/01/2018,0.35,Ideal,purple,VS2,4.52,4.6,2.76,706,Zircon
01/01/2018,0.32,Ideal,blue,VS2,4.4,4.43,2.72,637,Spinel
01/01/2018,1.1,Premium,red,SI1,6.74,6.71,4.08,6468,Alexandrite
01/01/2018,0.5,Good,blue,VS1,5.08,5.12,3.11,1932,Cat's Eye
01/01/2018,0.71,Ideal,red,SI2,5.74,5.76,3.54,2767,Topaz
01/01/2018,1.5,Fair,yellow,VS2,7.12,7.08,4.7,10644,Cat's Eye
01/01/2018,0.31,Ideal,yellow,VS2,4.37,4.39,2.7,544,Ruby
01/01/2018,0.34,Ideal,yellow,SI1,4.56,4.53,2.78,650,Sapphire
01/01/2018,1.01,Ideal,red,VS2,6.52,6.49,3.89,7127,Ruby
01/01/2018,0.9,Good,red,SI1,6.0,6.09,3.74,3567,Sapphire
01/01/2018,0.54,Premium,yellow,VS2,5.42,5.22,3.19,1637,Cat's Eye
02/01/2018,1.04,Premium,red,VVS2,6.54,6.51,3.99,10984,Cat's Eye
02/01/2018,0.4,Ideal,purple,VS2,4.72,4.69,2.96,1080,Alexandrite
02/01/2018,1.52,Ideal,red,SI2,7.35,7.28,4.59,8631,Spinel
02/01/2018,1.19,Ideal,White,SI2,6.8,6.85,4.21,4508,Alexandrite
02/01/2018,0.66,Ideal,Green,SI1,5.53,5.56,3.46,1609,Topaz
02/01/2018,1.5,Premium,Green,SI2,7.4,7.25,4.49,7187,Alexandrite
02/01/2018,0.34,Ideal,red,SI1,4.5,4.44,2.74,803,Zircon
02/01/2018,0.52,Ideal,blue,VS2,5.18,5.2,3.19,1576,Ruby
02/01/2018,0.31,Ideal,Green,SI1,4.38,4.35,2.7,595,Alexandrite
02/01/2018,0.71,Good,purple,SI2,5.65,5.59,3.6,1818,Topaz
02/01/2018,1.19,Ideal,yellow,SI1,6.76,6.81,4.23,6335,Ruby
02/01/2018,0.72,Very Good,White,VVS2,5.7,5.72,3.6,2144,Sapphire
02/01/2018,0.3,Ideal,Green,SI1,4.3,4.32,2.69,450,Topaz
02/01/2018,0.77,Premium,blue,VS1,5.95,5.9,3.6,3260,Topaz
02/01/2018,0.35,Very Good,red,VS1,4.61,4.64,2.77,846,Sapphire
02/01/2018,1.21,Premium,White,VVS2,6.82,6.85,4.22,5431,Spinel
02/01/2018,1.01,Very Good,yellow,SI1,6.35,6.43,4.01,5049,Spinel
02/01/2018,0.51,Premium,Pink,SI1,5.16,5.11,3.15,1084,Topaz
02/01/2018,1.26,Ideal,White,SI1,6.9,6.93,4.29,5301,Alexandrite
02/01/2018,1.55,Good,Green,VS2,7.42,7.47,4.54,11364,Alexandrite
03/01/2018,0.9,Good,yellow,SI2,6.05,6.02,3.85,3246,Spinel
03/01/2018,1.58,Premium,purple,SI2,7.42,7.38,4.61,9290,Alexandrite
03/01/2018,0.43,Premium,purple,SI1,4.88,4.84,2.94,1016,Spinel
03/01/2018,0.3,Ideal,yellow,VVS1,4.32,4.34,2.67,764,Topaz
03/01/2018,2.0,Good,Pink,SI1,8.01,7.91,5.09,12554,Alexandrite
03/01/2018,1.01,Premium,purple,I1,6.42,6.3,3.99,2257,Spinel
03/01/2018,0.43,Premium,purple,VS1,4.85,4.78,3.01,1129,Sapphire
03/01/2018,0.52,Ideal,yellow,VVS2,5.21,5.23,3.22,2338,Zircon
03/01/2018,0.73,Very Good,blue,SI2,5.75,5.81,3.59,2395,Sapphire
03/01/2018,0.52,Ideal,red,VS2,5.16,5.19,3.2,1822,Topaz
03/01/2018,0.5,Premium,purple,SI2,5.21,5.18,3.01,1031,Topaz
03/01/2018,1.14,Premium,yellow,VS2,6.71,6.68,4.11,7079,Alexandrite
03/01/2018,0.78,Premium,purple,SI1,5.83,5.8,3.63,2777,Topaz
03/01/2018,0.43,Ideal,yellow,VS1,4.82,4.85,3.01,943,Spinel
03/01/2018,0.91,Very Good,yellow,SI2,6.14,6.22,3.89,3615,Cat's Eye
03/01/2018,1.02,Very Good,purple,VS1,6.42,6.47,4.02,7587,Ruby
03/01/2018,0.52,Good,blue,SI1,5.12,5.15,3.27,1388,Spinel
03/01/2018,1.21,Ideal,Pink,VVS1,6.88,6.8,4.21,7086,Sapphire
03/01/2018,0.5,Good,blue,VS2,4.89,4.94,3.19,1389,Sapphire
03/01/2018,1.01,Premium,yellow,VVS2,6.44,6.37,3.95,7466,Ruby
04/01/2018,0.51,Ideal,purple,VVS2,5.13,5.1,3.2,2203,Alexandrite
04/01/2018,0.27,Premium,blue,VS1,4.22,4.17,2.58,603,Zircon
04/01/2018,1.8,Very Good,blue,SI1,7.81,7.89,4.88,17273,Sapphire
04/01/2018,0.3,Ideal,purple,VS1,4.28,4.3,2.66,673,Topaz
04/01/2018,1.13,Premium,Green,SI1,6.79,6.7,4.11,5050,Cat's Eye
04/01/2018,0.38,Premium,Pink,VS2,4.64,4.6,2.85,812,Zircon
04/01/2018,0.54,Premium,purple,SI1,5.36,5.3,3.18,1369,Topaz
04/01/2018,0.3,Good,Pink,SI1,4.25,4.29,2.7,405,Zircon
